甲数除以乙数的商是1.5，如果甲数增加20，则甲数是乙的4倍．原来甲数=．	20/(4-1.5)*1.5=12.0	{甲数, 乙数, 商, 1.5, 增加, 20, 4倍, 原来甲数}
水果店批发站共进货451筐水果，其中苹果236筐，梨185筐．余下的都是香蕉，香蕉共有多少筐？	451-236-185=30.0	{水果店, 批发站, 进货, 451筐, 水果, 苹果, 236筐, 梨, 185筐, 香蕉}
一个长6厘米，宽3厘米的长方形，它的面积=多少平方厘米．	6*3=18.0	{长, 6厘米, 宽, 3厘米, 长方形, 面积}
爱民村有3个养鸡场，2天一共产蛋960个．平均每个养鸡场产蛋多少个？	960/3=320.0	{爱民村, 3个, 养鸡场, 2天, 产蛋, 960个, 平均, 每个养鸡场, 产蛋}
一双布鞋35.65元，一双皮鞋比布鞋贵116.45元，张老师买一双皮鞋会给售货员200元，应找回多少钱？	200-(35.65+116.45)=47.9	{布鞋, 35.65元, 皮鞋, 贵, 116.45元, 张老师, 买, 售货员, 200元, 找回}
张叔叔卖一车西瓜瓜，卖了(2/3)后，还剩30个，原来一共有多少个西瓜？	30/(1-(2/3))=90.0	{张叔叔，卖，一车，西瓜，2/3，后，还剩，30个，原来，多少个}
甲乙两城相距1560千米，一辆汽车从甲城开往乙城，前6小时行360千米，照这样的速度，汽车行完全程一共需要多少小时？	1560/(360/6)=26.0	{甲乙, 两城, 相距, 1560千米, 汽车, 甲城, 开往, 乙城, 前6小时, 行360千米, 速度, 需要多少小时}
县里举行航模比赛，方方的决赛成绩是22.5秒，比预赛成绩提高了(1/4)，方方的预赛成绩是几秒？	22.5/(1+(1/4))=18.0	{县里举行航模比赛，方方，决赛成绩，22.5秒，提高，1/4，预赛成绩}
6（1）班有学生45人，其中女同学占(4/9)，女同学中有(1/10)近视，近视的女同学占全班人数的几分之几？	(4/9)*(1/10)=0.044444444444444446	{6（1）班, 学生, 45人, 女同学, 4/9, 近视, 1/10, 全班人数, 几分之几}
用一张长4.5分米，宽2分米的长方形纸，围成一个圆柱形纸筒，它的侧面积=．	4.5*2=9.0	{长4.5分米, 宽2分米, 长方形纸, 围成, 圆柱形纸筒, 侧面积}
小丽身高126厘米，正好是父亲身高的75%，父亲身高多少厘米？	126/75%=168.0	{小丽, 身高, 126厘米, 父亲, 75%, 多少厘米}
六年级学生在市场调查中了解到，本月鲫鱼售价比上月提高15%．本月鲫鱼售价为每千克6.9元，上月每千克售价=多少元？	6.9/(1+15%)=6.0	{六年级学生, 市场调查, 鲫鱼, 售价, 提高, 15%, 本月, 每千克, 6.9元, 上月, 售价}
甲数是80，比乙数少20%，乙数=？	80/(1-20%)=100.0	{甲数, 80, 比乙数少, 20%, 乙数}
甲数是25，甲数的(1/5)等于乙数的40%，乙=？	25*(1/5)/40%=12.5	{甲数, 25, (1/5), 等于, 乙数, 40%, 乙}
一块木板面积是12平方米，用去了(3/5)，还剩多少平方米．	12*(1-(3/5))=4.8	{木板, 面积, 12平方米, 3/5, 用去, 剩余}
同学们做40朵花，其中红花22朵，其余的是黄花．黄花有多少朵．	40-22=18.0	{同学们，做，40朵，花，其中，红花，22朵，其余，是，黄花，黄花，有，多少朵}
食堂原来每天烧煤200千克，改进烧煤方法后，每天烧煤150千克，节约了百分之几？	(200-150)/200=0.25	{食堂, 每天烧煤, 200千克, 改进, 烧煤方法, 150千克, 节约, 百分之几}
小英去医院看望生病住院的奶奶，她先走了全程的(1/10)到车站，再坐车行驶了全程的(7/10)，这时小英离医院还有全程的几分之几？	1-(1/10)-(7/10)=0.2	{小英，医院，看望，生病，住院，奶奶，全程，(1/10)，车站，坐车，行驶，(7/10)，离，几分之几}
奶牛场有6个牛棚，每个牛棚中有7头奶牛．一天共喂840千克饲料，平均每头奶牛一天喂多少千克饲料？	840/(6*7)=20.0	{奶牛场, 6个, 牛棚, 7头, 奶牛, 一天, 840千克, 饲料, 平均, 每头, 喂}
一个数的2.5倍是4.3与0.6的差，这个数=？	(4.3-0.6)/2.5=1.48	{数的, 2.5倍, 是, 4.3, 与, 0.6, 的, 差, 这个数}
小明读一本故事书，每天读全书的(1/15)，3天后还剩40页没有读，这本书一共有多少页？	40/(1-(1/15)*3)=50.0	{小明，读，故事书，每天，全书的，1/15，3天，后，还剩，40页，没有读，一共，多少页}
用0.7与2.3的差去除它们的和，商=？	(2.3+0.7)/(2.3-0.7)=1.875	{0.7, 2.3, 差, 去除, 和, 商}
一个长方体的底面积是80平方米，高是7米，它的体积=多少立方米．	80*7=560.0	{长方体, 底面积, 80平方米, 高, 7米, 体积, 立方米}
一个工程队修一条公路，9天修了270米，还剩630米．照这样计算，修完这条铁路共需要几天？	(270+630)/(270/9)=30.0	{工程队, 修, 公路, 9天, 270米, 剩, 630米, 计算, 修完, 铁路, 需要几天}
王杨期末数学成绩是96分，孙月的成绩比王杨低(1/6)，王华的成绩是王杨和孙月总分的(1/2)．王华得多少分？	(96+96*(1-(1/6)))*(1/2)=88.0	{王杨，期末，数学，成绩，96分，孙月，比，低，1/6，王华，总分，1/2}
水果店运出一批荔枝．上午卖出45千克，下午卖出62千克，下午比上午多卖得了149.6元，一千克荔枝多少元？	149.6/(62-45)=8.8	{水果店, 荔枝, 上午, 卖出, 45千克, 下午, 62千克, 比上午, 多卖, 149.6元, 一千克, 价格}
某汽车厂12月份实际生产300辆汽车，比计划多生产60辆，超产了百分之几？	60/(300-60)=0.25	{某汽车厂, 12月份, 实际生产, 300辆汽车, 比计划, 多生产, 60辆, 超产, 百分之几}
小丁丁今年8岁，爷爷比他大80岁．爷爷的年龄是小丁丁的多少倍．	(80+8)/8=11.0	{小丁丁, 8岁, 爷爷, 80岁, 倍}
张大伯在一条长1000米的坡路上跑步，去的时候用了3分，回来的时候用了2分．张大伯平均每分跑多少米？	1000*2/(3+2)=400.0	{张大伯, 坡路, 1000米, 跑步, 3分, 2分, 平均, 每分, 跑, 米}
(62/65)减去它的(16/31)，所得的差除24，结果=？	24/((62/65)-(62/65)*(16/31))=52.0	{提取、62/65、减、16/31、差、除、24、结果}
电影院有25排座位，每排有32个座位，现学校共759人到电影院看演出，还剩多少个座位？	25*32-759=41.0	{电影院, 25排, 32个座位, 学校, 759人, 看演出, 剩余, 座位}
学校买来儿童读物870本，分给6个年级，每个年级有5个班，平均每个班能分到多少本？	870/(5*6)=29.0	{学校, 买来, 儿童读物, 870本, 分给, 6个年级, 每个年级, 5个班, 平均, 每个班, 分到, 多少本}
(5/9)里面有多少个(1/9)．	(5/9)/(1/9)=5.0	{5/9, 里面, 多少个, 1/9}
图书馆4位管理员修补图书，平均每人每天修补45本，已经修补了3天，共修补了多少本？	45*4*3=540.0	{图书馆, 4位管理员, 修补图书, 平均, 每人每天, 45本, 已经, 修补, 3天, 共修补, 多少本}
爸爸买了一个随身听，原价160元，现在只花了0.9的钱，比原价便宜了多少钱？	160*(1-0.9)=16.0	{爸爸, 买, 随身听, 原价, 160元, 现在, 只花, 0.9, 钱, 比原价, 便宜, 多少钱}
一堆西瓜共有1860kg，第一天运走总数的(1/3)，第二天运走总数的25%，这堆西瓜还剩多少千克？	1860*(1-(1/3)-25%)=775.0	{西瓜, 1860kg, 第一天, 运走, 总数, 1/3, 第二天, 25%, 剩余, 千克}
某工厂运来一堆煤，第一季度用去(2/5)吨，比第二季度少用去(1/5)吨．两个季度共用去煤多少吨？	(2/5)+((2/5)-(1/5))=0.6	{工厂, 煤, 第一季度, (2/5)吨, 第二季度, 少用, (1/5)吨, 两个季度, 共用去}
一本课外读物，小红看了45页，正好是这本书的(5/9)，这本课外书一共有多少页？	45/(5/9)=81.0	{课外读物，小红，45页，5/9，一共，多少页}
氢、氧按1：8的重量比合成水，81kg的水中，含氢多少kg．	81*((1)/(1+8))=9.0	{氢、氧、1：8、重量比、合成、水、81kg、含氢、kg}
一堆有400吨，已经运走了260吨，剩下的4次运完，平均每次运多少吨？	(400-260)/4=35.0	{一堆, 400吨, 运走了, 260吨, 剩下的, 4次, 运完, 平均, 每次运, 多少吨}
57加上一个数正好是48的2倍，这个数=？	48*2-57=39.0	{57, 加上, 一个数, 正好, 是, 48, 的, 2倍, 这个数}
一根木头平均锯成5段，每锯下一段要4分钟，锯完一共要花多少分钟．	4*(5-1)=16.0	{木头, 平均, 锯成, 5段, 每, 锯, 下一段, 4分钟, 锯完, 一共, 花多少, 分钟}
按规定，购买摩托车要交10%的车辆购置税，李华购买一辆摩托车，连车带税一共花了5720元，这辆摩托车的原价=多少元．	5720/(1+10%)=5200.0	{按规定，购买，摩托车，交，10%，车辆购置税，李华，购买，一辆，连车带税，一共，花了，5720元，这辆，摩托车，原价}
同学们做了180朵纸花，每25朵扎成一束，已经扎了6束，还剩多少朵花？	180-25*6=30.0	{同学们，180朵，纸花，每25朵，扎成，一束，已经，扎了，6束，还剩，多少朵，花}
一个排球40元，一个篮球的价格是一个排球的1.2倍，一个足球的价格又是篮球的(5/8)，一个足球多少钱？	40*1.2*(5/8)=30.0	{排球，40元，篮球，1.2倍，足球，5/8}
中山到广州的公路大约长110千米．小汽车从中山到广州行驶了2小时，平均每小时行驶多少千米？	110/2=55.0	{中山, 广州, 公路, 110千米, 小汽车, 行驶, 2小时, 平均, 每小时, 多少千米}
某市居民用水价格提高20%后，每立方米是1.8元．提价前每立方米的价格=多少元？	1.8/(1+20%)=1.5	{某市, 居民用水, 价格提高, 20%, 每立方米, 1.8元, 提价前, 价格}
学校设有田径队和合唱队，合唱队人数是两队总人数的(3/5)，若从合唱队调出6人到田径队，则合唱队与田径队人数的比是3：4，合唱队原有多少人？	6/((3/5)-((3)/(3+4)))=35.0	{学校，田径队，合唱队，人数，3/5，调出，6人，3：4，原有}
广播操比赛，三年级学生每行站20人，正好站18行．如果每行站24人，可以站多少行？	20*18/24=15.0	{广播操比赛，三年级学生，每行，20人，18行，每行，24人，多少行}
一桶色拉油，用去整桶的(3/4)，还剩下8千克．这桶色拉油总重多少千克？	8/(1-(3/4))=32.0	{一桶, 色拉油, 用去, 整桶, 3/4, 还剩下, 8千克, 总重, 千克}
平均每人做小红花11朵，12人做小红花多少朵．	11*12=132.0	{平均, 每人, 小红花, 11朵, 12人, 多少朵}
一辆汽车和一辆摩托车同时从相距860千米的两地出发，相向而行，汽车每小时45千米，摩托车每小时70千米，6小时后两车相距多少千米．	860-(45+70)*6=170.0	{汽车, 摩托车, 相距, 860千米, 两地, 出发, 相向而行, 每小时, 45千米, 70千米, 6小时, 相距}
商店运进260包白糖，卖掉白糖的(1/12)后，剩下的白糖比红糖少7包，运进红糖多少包？	260-(260-7)/(1+(1-(1/12)))=128.0	{商店, 运进, 260包, 白糖, 卖掉, 1/12, 剩下, 比红糖, 少7包, 运进, 红糖}
学校组织植树劳动，平均每人植树12棵．一班有学生46人，二班有学生43人，两个班一共植树多少棵？	(46+43)*12=1068.0	{学校, 组织, 植树, 劳动, 平均, 每人, 12棵, 一班, 学生, 46人, 二班, 43人, 两个班, 一共, 植树, 多少棵}
番茄有15筐，土豆的筐数是番茄的3倍．白菜的筐数比番茄和土豆的总筐数少8筐．白菜有多少筐？	15*3+15-8=52.0	{番茄, 15筐, 土豆, 3倍, 白菜, 总筐数, 少8筐}
一辆汽车5小时行驶了620千米，照这样的速度行驶，如果再行驶744千米．这辆汽车前后一共需要用多少时间？	744/(620/5)+5=11.0	{汽车, 5小时, 行驶, 620千米, 速度, 再行驶, 744千米, 前后, 一共, 需要, 时间}
苹果的单价是12元每千克，学校打算买60千克苹果．请问：学校买这些苹果要付多少钱？（提示：单价dānjià*数量shùliàng﹦总价zǒngjià）	12*60=720.0	{苹果，单价，12元，每千克，学校，买，60千克，总价}
在四川抗震救灾的日子里，特警刘叔叔前4天在汶川县共奋战74小时，后3天在什邡市每天工作15小时．这一周刘叔叔平均每天工作多少小时？	(15*3+74)/(4+3)=17.0	{四川, 抗震救灾, 特警, 刘叔叔, 前四天, 汶川县, 奋战, 74小时, 后3天, 什邡市, 每天, 工作, 15小时, 一周, 平均, 每天工作, 小时}
高速列车的行驶速度为每小时280千米，是汽车速度的4倍，高速列车的速度比汽车每小时快多少千米？	280-280/4=210.0	{高速列车, 行驶速度, 每小时280千米, 汽车速度, 4倍, 比汽车, 每小时, 快, 多少千米}
甲、乙两数的积是(7/6)，甲数是(2/3)，乙数=．	(7/6)/(2/3)=1.75	{积, 甲, 乙, 数, 7/6, 2/3}
差是590，减数是380，被减数=．	590+380=970.0	{差, 590, 减数, 380, 被减数}
饲养场的兔和羊一共有450只，兔比羊多(1/4)．饲养场有兔多少只？	450/(1+1+(1/4))*(1+(1/4))=250.0	{饲养场, 兔, 羊, 450只, 兔多, 1/4, 兔多少只}
一只山雀4天大约能吃600只害虫，照这样计算，一只山雀一个月大约能吃多少只害虫？（一个月按30天计算．）	600/4*30=4500.0	{山雀, 害虫, 4天, 600只, 一个月, 30天}
1.25*16=．	1.25*16=20.0	{1.25, *, 16, =}
一位旅客携带了30千克的行李，按民航规定，旅客最多携带20千克行李，超重部分每千克按飞机票价的1.5%购买行李票，现在旅客购买120元的行李票，则它的飞机票价应=多少元．	120/(30-20)/1.5%=800.0	{旅客, 30千克, 行李, 民航规定, 20千克, 超重, 部分每千克, 飞机票价, 1.5%, 行李票, 120元, 应=, 多少元}
小明体重30千克，是小刚的(3/4)，小华体重是小刚的(4/5)，小华体重多少千克？	30/(3/4)*(4/5)=32.0	{小明, 体重, 30千克, 小刚, 3/4, 小华, 4/5, 千克}
某校六年级向希望小学捐款250元，占全校捐款的(5/19)．全校的捐款=多少元？	250/(5/19)=950.0	{六年级，希望小学，捐款，250元，占，全校捐款，5/19，全校}
黄老师最近搬到新的工作室．她站在阳台上发现往上看时有3个阳台；往下看时有6个阳台．那么，黄老师所在的这座大楼一共有多少层．	3+6+1+1=11.0	{黄老师, 新的工作室, 阳台, 往上看, 3个阳台, 往下看, 6个阳台, 大楼, 层}
一块蛋糕长12cm，宽6cm，厚5cm，切一刀，表面积最少增加了多少cm^2．	5*6*2=60.0	{蛋糕，长，12cm，宽，6cm，厚，5cm，切一刀，表面积，最少增加，cm^2}
商店有黄气球75个，红气球63个，花气球的个数比黄气球和红气球的总数少30个，花气球有多少个？	(75+63)-30=108.0	{商店、黄气球、75个、红气球、63个、花气球、个数、比、总数、少、30个}
小明生日时，妈妈送给他一个圆锥形的陀螺，陀螺的底面直径是4厘米，高5厘米，如果用一个长方体盒子包装，这个盒子的容积至少=多少立方厘米．	4*4*5=80.0	{小明, 生日, 妈妈,送给, 圆锥形, 陀螺, 底面直径, 4厘米, 高, 5厘米, 长方体盒子, 包装, 容积, 至少, 立方厘米}
(1/3)+(1/2)的和，等于一个数的(3/4)．这个数=？	((1/3)+(1/2))/(3/4)=1.1111111111111112	{提取, 和, 等于, 一个数, 的, 3/4, 这个数}
